Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var
dance33.wav,0.5036433,0.02401174,0.43546644,0.084291175,2775.7662116414026,521650.01104455907,6060.480019773123,1766773.7483348898
dance34.wav,0.5103484,0.033089586,0.39089817,0.08432005,2777.1920530307684,188346.69494518318,5873.18115234375,960291.3422974824
dance35.wav,0.49742535,0.032072965,0.32433113,0.08953534,2986.5275604692574,342607.54784578725,6730.909299112326,1160443.3683729928
dance36.wav,0.49638888,0.027610542,0.46555248,0.08630296,2450.001794637066,552228.2053851055,5200.826884644688,2707232.8095765
dance37.wav,0.49770352,0.028684283,0.31910163,0.09564423,2567.3028520173048,1005319.7054213604,5348.042661117695,3613051.303155701
dance38.wav,0.4868178,0.027937002,0.4323829,0.08257153,2895.392145897533,372417.92326893343,6300.1535704999515,1553868.271427146
dance39.wav,0.5748695,0.026145125,0.5091393,0.07195792,3276.960584930754,319845.72597657994,6707.609440003386,742091.4206000542
dance4.wav,0.4961329,0.031812232,0.36151752,0.09032936,3260.082284197852,694596.5951607884,7076.2072111430925,2143578.786344084
dance40.wav,0.54704773,0.0256788,0.38295522,0.08835927,2768.68542317107,704483.0234822234,6614.06833896696,1771796.511965777
dance41.wav,0.5407505,0.027091315,0.51681626,0.074990585,2953.1531577918613,285726.41226698173,6453.7860906638625,867771.751410011
dance42.wav,0.5231373,0.027681187,0.39092618,0.08626479,2815.2892718713856,404171.4134078546,5773.355774506218,1073072.6310495
dance43.wav,0.5227754,0.023273533,0.45011932,0.08455243,2633.3504811872913,667442.0698151651,5454.398625416587,2199811.3336844137
dance44.wav,0.55351543,0.030908497,0.32531336,0.08964312,2774.6003951999205,842429.2632318762,5724.390184225265,3101776.6364680044
dance45.wav,0.574694,0.041034702,0.4114,0.07634109,3001.09412163411,334143.45499502314,6315.891679430322,1042952.4712742793
dance46.wav,0.5079933,0.033939265,0.32348096,0.09146315,3057.3882402470185,947409.4888540833,6497.15966403964,3118795.3527490087
dance47.wav,0.5175947,0.032108292,0.34068817,0.092450194,2718.961918169646,661133.737292028,5923.972511882014,1867132.5628830662
dance48.wav,0.51480085,0.03165082,0.3531188,0.09639842,3060.067881446143,1322292.0675576855,6388.436369999275,3488836.251494201
dance49.wav,0.52787405,0.027612682,0.42115143,0.08629075,3237.568955820043,474343.15122415184,6858.441861273704,1381330.284796766
dance5.wav,0.4985528,0.031886496,0.4664766,0.08048141,2807.589027111331,380860.706127091,6319.470120362084,1418411.3201669592
dance50.wav,0.50342554,0.03040101,0.34476784,0.088643335,3065.3215768221376,316501.9126233818,6189.067004609768,1105198.074657663
dance51.wav,0.5256932,0.03219635,0.4251498,0.07922946,3002.049820685265,533996.5323111743,6273.640422676913,1802776.2275884307
dance52.wav,0.4936609,0.032210324,0.31437993,0.08909635,2789.8357086683222,369981.23184927995,6189.731442237681,1353555.5717240502
dance53.wav,0.55041724,0.030609192,0.37830704,0.080297515,3567.5441399090114,413738.6401847154,7511.3962462812015,895447.732542394
dance54.wav,0.52548623,0.03302911,0.28227097,0.09124617,3119.8360634705055,314148.91762468236,6661.968049323965,1048372.8303247355
dance55.wav,0.50100785,0.028741686,0.42186984,0.092471555,2862.622082162484,648412.3832061895,6202.8874919879545,2227082.5991770998
dance56.wav,0.50608695,0.024755212,0.42000568,0.0890484,2930.402319781519,745035.8324930246,6459.82760497291,2500759.1964110984
dance57.wav,0.51126975,0.027453372,0.37130034,0.08549481,3124.1817042390066,464647.39993565594,6514.052277083736,1511686.8793366805
dance58.wav,0.48602214,0.030943127,0.38526773,0.09163879,3216.2152916162236,431952.15059688326,7131.115212455254,1007909.3591248081
dance59.wav,0.4977909,0.02935768,0.43105713,0.07750027,3223.721878249701,329511.7511655967,6821.117086971507,1088501.724459847
dance6.wav,0.5248935,0.0275298,0.36605945,0.09213693,2798.1078177129484,379459.17598615406,6080.2343195134945,1272333.6328449543
