Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var
balad86.wav,0.5052482,0.029419998,0.24294788,0.08685109,2721.056723303818,558999.879363314,6090.091119398927,2045298.9570799419
balad87.wav,0.49457967,0.032033626,0.311223,0.095464125,2107.6509123475907,791091.189786079,4567.374189097599,2898812.273674716
balad88.wav,0.51490134,0.027700093,0.28225055,0.08926228,1652.306711863497,548639.9215263266,3522.3743568978657,3434273.042687002
balad89.wav,0.51284313,0.03007764,0.23519312,0.091153435,1496.2024911913772,726827.9767369165,2991.923574914135,3418643.5176107073
balad9.wav,0.5276401,0.03190711,0.3607678,0.07981449,2458.731741511718,207773.85468343322,5677.478689896433,1134960.338628755
balad90.wav,0.48493898,0.034045268,0.23319638,0.08987639,1912.3379215322584,1291139.9608686713,4500.567001714939,8716299.14020817
balad91.wav,0.49128076,0.029730303,0.32819512,0.08878431,2293.417482437667,323642.64690478006,4998.6432675523665,1887665.6708464
balad92.wav,0.47557014,0.028808549,0.3134282,0.08928539,1814.4008978043582,257894.6197971219,3998.1758235777866,1894507.5571635969
balad93.wav,0.5310068,0.030121164,0.37433097,0.08502129,2436.466748346355,530438.3132400695,5310.259556253628,2405671.743806765
balad94.wav,0.5244048,0.030869313,0.3899824,0.09747836,2720.1669803574327,1099033.5132743013,6219.954055455447,3606709.0537462514
balad95.wav,0.50455666,0.030600473,0.322206,0.10221719,1745.1990817516912,1100447.747182083,3611.7605358794617,5910728.745676942
balad96.wav,0.48652557,0.031012822,0.20677933,0.083639964,1854.0277175193698,388890.53042289714,3655.3778964299536,2856283.6028943164
balad97.wav,0.5289245,0.028949376,0.3256892,0.091035575,2278.645278807249,775030.3124094869,5076.819301168247,3402215.0685841423
balad98.wav,0.49430335,0.034694366,0.32499325,0.086941384,2013.230932675697,939433.5619201751,4160.574841573142,4028082.2464393033
balad99.wav,0.49464563,0.02993104,0.33570763,0.09074124,2160.7959028718874,685607.0667685248,5022.111298646721,2949920.6434562565
