,title,artist,lyric
20,일장춘몽,김태은,"인생이란 일장춘몽 한바탕 꿈인것을
잠시 머물다 가는것이
우리네 인생이 아니더냐
내것이 아닌것을 가져서 무엇하나
그 또한 부질없는거
욕심은 버리고 사랑은 채우고
도란도란 어울어져 사는거지
사는게 다 그런거잖아
인생은 일장춘몽


인생이란 일장춘몽 한바탕 꿈인것을
잠시 머물다 가는것이
우리네 인생이 아니더냐
내것이 아닌것을 가져서 무엇하나
그 또한 부질없는거
욕심은 버리고 사랑은 채우고
도란도란 어울어져 사는거지
사는게 다 그런거잖아
인생은 일장춘몽
인생은 일장춘몽"
21,이어도 전설,최전설,"십년전에
뱃일 나간
우리 아방
생각하며

어기어차
어기어차

허구헌날
바당보며
눈물진다
우리 어멍

어기어차
어기어차

풍랑만나
죽거둘랑
이어도갔다 생각합서

어기어차
어기어차

슬픔없고 눈물없는
이어도 가자 이어도가자

한많은내인생
우리네 인생살이

이어도가자
이어도가자
이어도가자
이어도가자"
22,만약에,박지현,"만약에 당신이 그 누구와 사랑에 빠지면
그 사랑을 위해서 무얼 할 수 있나
텅 빈 세상 살아가는 이유가
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이
만약에 너라면 허락하겠니
얼마나 더 많이 외로워해야
널 끌어안고서 울어볼까
이제는 더 이상 지칠 몸조차
비워둘 마음조차 없는데
또 다른 이유로 널 못 본다면
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니

텅 빈 세상 살아가는 이유가
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이
만약에 너라면 허락하겠니
얼마나 더 많이 외로워해야
널 끌어안고서 울어볼까
이제는 더 이상 지칠 몸조차
비워둘 마음조차 없는데
또 다른 이유로 널 못 본다면
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니
만약에 당신이 그 누구와
사랑에 빠지면
그 사람을 위해서 다해줄 수 있나"
23,태양의 심장 (Heart of Sun),최윤,"자 다 같이 주문을 외쳐볼까요 용기와 지혜를 담아 너와 나 태양의 심장
드넓은 평온한 바다와 붉게 타오르는 내 마음 속 정열의 태양
미지의 세계가 우리를 기다리네 낭만과 모험 가득한 신비의 세계
힘차게 달려가보자 어떤 시련이 찾아와도 너와 나 함께라면
이겨낼 수 있어 서로가 하나되어 찬란히 빛나는 태양의 심장과 함께 달려가보자
one two three four
자 떠나자 모험의 세계로 우리를 기다리고 있는 세계 보물을 찾아
불러보자 우리의 소원을 용기와 지혜를 담아 너와 나 태양의 심장
끝없이 펼쳐진 바다와 붉게 타오르는 내 마음 속 정열의 태양
미지의 세계가 우리를 기다리네 낭만과 사랑 넘치는 신비의 세계
힘차게 뛰어가보자 어떤 시련이 찾아와도 너와 나 함께라면
이겨낼 수 있어 다 같이 하나되어 찬란히 빛나는 태양의 심장과 함께 뛰어가보자
one two three four
자 떠나자 모험의 세계로 우리를 기다리고 있는 세계 보물을 찾아
외쳐보자 우리의 주문을 용기와 지혜를 담아 너와 나 태양의 심장
Thank you"
24,나의 어머니,송준,"나의 어머니

내가 어렸을때 당신은
너무나 아름다웠죠
고운 손 눈부신 미소가
영원할 것만 같았죠

그렇게 잘못한게 아닌데
호되게 야단치시던
당신이 그리워요
그 손을 잡고싶어요

당신이 살아온 세월
그만큼을 또 살아간
이유가 그 이유가
바로 저 때문이군요

이제는 좀 편히 쉬세요
좋은것만 보며사세요
그동안 참 많이 고마웠어요
나의 어머니

당신이 참아온 세월
그 속에 제가 있네요
그 사랑 그 사랑이
제겐 큰 축복이에요

이제는 좀 편히 쉬세요
좋은것만 보며사세요
그동안 참 많이 고마웠어요
내 사랑 어머니

아아~~~
나의 어머니

저를 낳고 기르시느라
당신의 삶은 어땠나요
그러니 이제는 편히 쉬세요
참 고마웠어요

거친손 주름진 미소가
여전히 눈부셔요

나의 어머~니
나의 어머~니
사랑합니다"
25,니가 여자를 알아,진솔,"툭하면 여자가
툭하면 여자가
시도때도 없이 하는말
불쑥불쑥 생각없이
툭툭하는말
니가 여자를 알아
여자는 무조건 참아야 하니
여자는 화내면 안 되는 거니
니가 알아 여자맘을
어떻게 알아
여자도 모르면서
아는 척 하지마
니가 알아 여자 속을
어떻게 알아
남자라고 큰소리 치지마
힘들어 힘들어
속 터지는 여자의 마음
따뜻한 한마디에
난 녹아내리는
그게 바로 여자 여자야

여자는 무조건 참아야 하니
여자는 화내면 안 되는 거니
니가 알아 여자 맘을
어떻게 알아
여자도 모르면서
아는 척 하지마
니가 알아 여자속을
어떻게 알아
남자라고 큰소리 치지마
힘들어 힘들어
속 터지는 여자의 마음
따뜻한 한마디에
난 녹아내리는
그게 바로 여자 여자야"
26,지우지 못한 사랑,손선희,"나는 몰랐네 진정몰랐네
사랑이 그리움이 될줄은
못이룬 사랑이라 지우지 못해서
자꾸만 생각이 나네
그리움에 보고파서 세월가도
잊지못하고 생각나는 그사람을
지우지 못해 가슴에 묻어둔 사랑
아 아 아 못이룬 사랑
언제 다시 만날 수 있나

아 아 아 못이룬 사랑
언제 다시 만날 수 있나"
27,화살을 쏘고간 사랑,김은지,"사랑에 뜨거운 화살을
내가슴에 쏘아놓고서
한마디 말도없이 떠나려 하는
무정하고 야속한 사람
우리 사랑은 나혼자 했나
당신도 함께 사랑했잖아
이 아픈 사랑에 상처
나혼자 어찌 하라고
다시한번 생각해봐요
내생각이 날 테니까요
우리사랑 헤어질 수 없어요
우리사랑 헤어질 수 없어요"
28,청춘이좋아 (Cover Ver.),허스키장,"나팔바지에 빽바지 청바지
그시절이 그리워
사랑도 미움도 있다가도 없어지지만
내마음의 불타오른 그청춘이 남아있어
나는나는 좋아라
사랑사랑 좋은사랑
그대와함께 행복하게 살아갈거야
사랑하니까 좋아하니까
행복하게 살아갈거야
그대가좋아 사랑이좋아
행복하게 살아갈거야
나팔바지에 빽바지 청바지
그시절이 그리워
사랑도 미움도 있다가도 없어지지만
내마음의 불타오른 그청춘이 남아있어
나는나는 좋아라
사랑사랑 좋은사랑
그대와함께 행복하게 살아갈거야
사랑하니까 좋아하니까
행복하게 살아갈거야
사랑이좋아 그대가좋아
행복하게 살아갈거야"
29,기도하는 꽃,김동현,"아침엔 나팔꽃
당신을 보내는 마음으로 피어
낯에는 해바라기꽃 되어
당신을 기다립니다.
밤에는 달맞이꽃 사랑의 요정이 되어
수줍은 미소 아롱지며
당신께 안기고 싶었어요.

능금나무 아래 아침을 열고
한낮의 볕을 밭아
밤으로 엉키는
이슬 되어 설레임으로
얼마나 많은 몸짓으로
바람을 견뎌왔나!
기도하는 꽃이 되어


오늘도 나는 물망초 꽃
당신을 기다립니다.
날마다 품는 향기는
나를 잊지 말아요.

능금나무 아래 아침을 열고
한낮의 볕을 밭아
밤으로 엉키는
너와 나의 약속이 아니었나?
얼마나 많은 몸짓으로
바람을 견뎌왔나!
기도하는 꽃이 되어
기도하는 꽃이 되어"
